soft_id	soft_name	file_name	url	version	file_size	update_time	os_type
11213	e-Vue Image Tools for Photoshop	myfiles_eVueT171Free.exe	http://dl1sw.baidu.com/packages/162205.exe	1.7.1	2831155	2007/7/5 0:00	30
11777	DFX for RealPlayer	DFX_9.304_for_Real	http://dlsw.baidu.com/sw-search-sp/soft/cb/11777/DFX_9.304_for_Real.exe?version=897931755	9.3.0.4	4112744	2013/8/13 11:04	31
14324	CJC趣味英语游戏集	CJCGamesSetup	http://dlsw.baidu.com/sw-search-sp/soft/e5/14324/CJCGamesSetup.exe?version=1185392965	1.0.0.0	17685988	2013/8/16 16:43	30
15684	Apple网络电话	ApplePhonesetup.exe	http://dl1sw.baidu.com/packages/162228.exe	1.1	3460300	2004/11/26 0:00	30
13150	Acrobat Key	passware-kit-standard-demo.msi	http://dl1sw.baidu.com/packages/162234.exe	9.3 Build 798	30303846	2009/7/23 0:00	30
14146	ACD Systems Canvas	canvas_9.0.4.0820	http://dlsw.baidu.com/sw-search-sp/soft/ef/14146/canvas_9.0.4.0820.exe?version=3622860163	9.0.4.0820	73082208	2013/8/23 11:24	30
11304	啄木鸟IE修复大师	01ww_setup	http://dlsw.baidu.com/sw-search-sp/soft/c2/11304/01ww_setup.exe?version=1185392965	1.0.0.0	2586298	2013/8/8 16:49	30
14175	中华万年历	CHNCAL.exe	http://dl1sw.baidu.com/packages/162251.exe	1	0	2013/7/26 15:36	30
11053	雅酷在线电视直播系统	myfiles_yktv2.0.exe	http://dl1sw.baidu.com/packages/162280.exe	2	734003	2005/6/15 0:00	30
12370	休闲小游戏全集	xxxyxqj	http://dlsw.baidu.com/sw-search-sp/soft/eb/12370/xxxyxqj.exe?version=1185392965	1.0.0.0	1010887	2013/8/15 16:01	30
17422	向日葵远程控制	sunlogin_common_5.4.31.25828	http://dl1sw.baidu.com/soft/91/17422/sunlogin_common_5.4.31.25828.exe.exe?version=3278929237	5.4.31.25828	42131016	2013/6/15 11:27	62
12271	搜狐休闲游戏大厅	sohu_gamehall.zip	http://dl1sw.baidu.com/packages/162339.exe	v1.31	4928307	2007/1/17 0:00	30
